Yorum,Duygu
Çok iyi. Tesekkurler..,1
çok iyi ve hızlı bir ürün,1
teşekkürler...,1
Gerçekten kullanmasını bilene çok iyi orta segmet alına bilecek bir telefob,1
Kargo yavaş gelmedi şansıma 3 gün sonra yola çıkardı Hepsi burada. Ptt kargo çok yavaş 1 haftada zor getirdi ürünü. Ürün güzel anneme başlangıç seviyesi telefon olarak aldım memnunuz. Kargolamayı sıkıntı yapmıyorum 100 lira indirim için 1 hafta beklemeye değer.,1
"Daha önce kötü tecrübem sonrası Samsung Türkiye Garantili olmasına özellikle dikkat ettim, teşekkürler.",1
fiyatinin dusmesini bekliyodum gecen hafta sali aksami sipariz verdim cuma gunu elime sorunsuz ulasti telefon genel olarak guzeldir.oyun oynamam pek bu konuda birsey diyemicem ama sorun cikaricagini sanmiyorum sarj  bir bucuk iki gun gidiyor ben memnunum tavsiye ederim.,1
telefon paketlenmesi çok iyi parasına göre çok harika telefon fakat kargo çok uzun sürdü yinede teşekkürler,1
"oldukça iyi telefon , parasının karşılığını fazlasıyla veriyor",1
Fiyat konusu olsun özellikleri olsun harika tek kelimeyle samsunga helal olsun ama o kadar para veriyoruz ve kulaklığı kulak içi kulaklık bile değil !,1
GÜZEL,1
1000 ve 1500 tl arası alınacak telefonlardan birisi diyebilirim üstü telefonlarla kıyaslama yapmayın en büyük özelliği de 5000 mah olması şarj konusunda gerisi bildiniz samsung 🥰🥰🥰,1
Telefon konusunda gayet başarılı özelliklede şarj 5000 mah olmasi gayet güzel satıcıya teşekkür ederim özelliklede kargoyu getiren Celal Yılmaz beye çok teşekkür ediyorum kargo konusunda yardımcı olduğu için,1
teşekkür ederiz.,1
Biz beğendik.,1
hizmet kalite çok güzel teşekkürler,1
anlatıldığı  gibi iyi fiyat iyi alışveriş,1
Teslim tarihinden daha erken geldi.Ürün gayet güzel paketlenmişti.İnternetten yaptığım en güzel ve en hızlı alışveriş oldu👍,1
İyi,1
arkadaşlar bu fiyat aralığındaki tüm telefonları inceleyip kıyaslama yaptım ve m20 ye karar verdim bir haftadır kullanıyorum gayet sorunsuz bir cihaz olumsuz yorum yazanlar bu fiyat aralığındaki bir telefondan ne bekliyor anlamadım. şunu da unutmamak gerekir ki elektronik birazda şans işidir ben alırım 5 sene sorunsuz kullanırım başkası alır arızalı çıkar. tabiki herkes fikrinde özgürdür  saygı duyarım,1
Ürünüm eksiksiz ve sorunsuz bi şekilde elime ulaştı. Tamda istediğimiz ve beklediğimiz gibi. Teşekkürler hepsi burada,1
Güzel ürün,1
Fiyatına göre çok iyi. Bu fiyatlarda ürün arıyorsanız işinizi çok rahat görecektir. Kamerası öyle aman aman değil. Ama bence fotoğrafı fotoğraf makinesi çeker telefon değil 10 binlik telefonuda koysanız önüme onunda kamerasını beğenmem o da ayrı.,1
Ürün oldukça iyi.Telefona çok para vermem diyorsanız alın.Memnun kalacağınıza eminim.,1
Bu fiyata kullanılabilecek en güzel telefon,1
"lütfen PTT kargo ile çalışmayın 
şubedeki ürünü 4.gün getirdiler",1
Teşekkürler güzel,1
orjinalmi  türkiye garantilimi  diye düşünün arkadaşlar  kafalarinda  şüphe kalmasın  telefon orjinal samsung türkiye garantili geldi sıfır kutusunda  acilmamis  güzel paketleme sistemi  ile aklınızda en ufak şüphe kalmasın . 23 kasımda  siparis ettiğim ürün 27 kasımda geldi yogunluktan  teşekkürler hepsi burada,1
Alt segmentte alabileceginiz en ucuz  donanımlı  telefon,1
ÜRÜN GAYET HIZLI GÜVENİLİR BİR ŞEKİLDE GELDİ TEŞEKKÜRLER,1
telefon bugun.elime ulasti  guncelleme yaptim hizi gayet ideal kamerasi da gayet iyi kotu diyenler 10 000 tllik bir telefon kamera performansimi bekliyor acaba fiyatina gore gercekten cok iyi,1
"Ürünü annem için aldım, beklediğimizden hızlı bir kargolama oldu, paketleme de sorun yoktu. Teşekkür ederiz.",1
Bu fiyata alınabilecek en iyi telefon kasa ekran heryeri plastik ama telefon sağlam çok fazla yete düştü ama birşey olmadı,1
Malum marketlere farklı garantilerle gelen telefondan iki tane almak yerine samsung Türkiye resmi satışını arayarak özel indirim talep ettik. sağolsun müşteri temsilcisi bizi kırmayarak mağazada satılan fiyatla aynı fiyattan kişiye özel indirim yaptı ve telefonları satın aldık. buradaki fiyat çok iyi keşke buradan alsaydık 400 lira kar ederdik,1
kargo hızlı ürünü hasarsız teslim aldım tavsiye ederim hepsi burada ailesine teşekkür ediyorum,1
