Yorum,Duygu
"Lenovo farký ürün gerçekten güzel,6 ay önce almýþtým cok memnunum tavsiye ederim.",1
Fiyatýna göre performansý normal,1
"yorumlara bakmadan karþýlaþtýrmadan oðlum için aldýðým bir tablet 
gerçekten oyun, internet vs. acayip kasýyor.
bana 2 hafta arayla 2. tableti aldýran bir ürün kesinlikle almanýzý tavsiye etmem",1
Ürün fiyat performas olarak iyi. Ancak þarj hýzlý bitiyor diyebilirim.,1
"Paranýzý çöpe atmayýnýz derim hiç tavsiye etmem býþman oldum niye aldým diye, ne internette kullanabiliyorsunuz nede baþka biþey yapabilirsiniz, çok donuyor ve çok sýnýr bozucu biþey. Sakýn almayýn.",1
"SATICI ÇOK ÝLGÝLÝ,ÜRÜN SAAT 4 TE SÝPARÝÞ EDÝLDÝ ERTESÝ GÜN TESLÝM ALDIM",1
çok güzel tablet 3 yýldýr kulanýyorum,1
Alýp kullanmanýzý tavsiye etmem daha doðrusu kullanamazsýnýz bile çok kötü kasýyor ve takýlýyor boþu boþuna paranýzý sokaða atmayýn faklý ürünlere bakýn derim.....,1
Fiyat performans olarak gayet uygun bir ürün..,1
Tam istediðim gibi,1
Güzel bir tablet,1
çok yavaþ ve çok donuyor.basarisiz,1
hiç bir iþe yaramaz bir tablet. adam gibi ne oyun açýyor ne internete girebiliyorsunuz boþuna para verip almayýn,1
Hasarsiz geldi fiyat da makul,1
Ürünü daha yeni aldým iyi veya kötü diyemem ama BOZDAN teknoloji ye çok teþekkür ediyorum gösterdikleri hýzlýlýktan dolayý ürünü daha dün öðleden sonra aldým bugün saat 15:00 te ürün geldi açtým çatlak patlak yoktu BOZDAN TEKNOLOJÝ ye çok teþekkür ederim inþallah çocuk sýkýntýsýz kullanýr,1
ürün güzel.  indirimli olduðu için 2. kez satýn  aldým ayný üründen. Ancak alalý daha 1 hafta olmadý ekranda bir mavi çizgi belirdi. ilk aldiðimda bir sorun olmamýþtý. Teknik destek almam gerekecek.,1
??süper,1
Bu fiyata güzel ürün marka olarakta baþarýlý satýcý ürünü hýzlý gönderdi ,1
Çok güzel bir ürün herkese tavsiye ediyorum hýzlý kargo,1
"Ürünü akþam sipariþ ettim. Ertesi gün kargoya verildi, sonraki gün elime ulaþtý.
Ürün ise fiyat/performans olarak uygun. Programlar arasýnda geçerken yavaþlýðý hissediyorsunuz, pixelleri görebiliyorsunuz. Ama bu fiyata oldukça normal tabi. ",1
